company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,state code,company_age,python,r,java,scala,sql,spark,aws,azure,airflow,snowflake,git
"Visionary Homes
",Data Engineer,"North Logan, UT","Work Arrangement: This is an onsite role, requiring availability to work in our Logan, UT office.
Job Summary
We seek a highly motivated and detail-oriented Data Engineer to join our team and assist with a critical software migration project. As part of our Data Engineering team, you will play a vital role in ensuring a smooth and successful data transition from our existing software system to a new platform. The ideal candidate will have a strong understanding of data management concepts, basic programming skills, and a passion for data integrity and accuracy.
Responsibilities
Data migration planning: Collaborate with the Data Engineering team to develop a comprehensive migration plan, including data extraction, transformation, and loading (ETL) processes.


Show More
Report",89.0,51 to 200 Employees,Company - Private,"Construction, Repair & Maintenance Services",Construction,2004.0, UT,19.0,0,1,0,0,0,0,0,0,0,0,0
"Zenith
",Data Engineer,"New York, NY","Company Description

About Zenith
Zenith is the ROI Agency. Our more than 6,000 specialists across 95 markets offer unparalleled capabilities in Media, Data, Technology, Commerce and Content. We put effectiveness at the heart of our work to solve complex challenges, drive successful business outcomes, and grow our clients’ businesses. Zenith is part of Publicis Media, the media arm of Publicis Groupe.

Job Description
Write ETL packages and database code based on business requirements or user stories, architectural requirements, and existing code.




Show More
Report",90.0,10000+ Employees,Subsidiary or Business Segment,Media & Communication,Advertising & Public Relations,1988.0, NY,35.0,0,1,0,0,0,0,0,0,0,0,0
"Decision Point Healthcare
",Junior Data Engineer,"Boston, MA","Boston, MA
Full-Time

We need your help.
We’re looking for a self-motivated and detail-oriented data engineer to join our DataOps team. This opportunity will enable you contribute to the operation, support, and enhancement of our mission critical data operations platform and the development of data pipelines. Our data operations platform supports high volume, high velocity data ingestion and curation to support our existing, and rapidly expanding, health plan client base.
What you’ll do:
Show More
Report",101.0,1 to 50 Employees,Company - Public,,,2013.0, MA,10.0,0,1,0,0,0,0,0,0,0,0,0
"Bethesda Corporate
",Data Analytics Engineer,"Des Peres, MO","As an employee of Bethesda you will be required to provide documentation of vaccination, this includes the COVID-19 vaccine if applicable.:

JOB SUMMARY:
Serve as an internal data consultant, participating in data integration discussions. Review existing data structures and recommend optimizations and redesigns, as warranted. Participates in the design, development, validation and testing of new or revised reports. Gather requirements and create reports as requested by the customers, to make effective business decisions. Analyze and evaluate highly complex business and market data; interpret data for the purpose of determining organizational/program performance, trends and/or probability. Design and apply forecasting and predictive modeling techniques to enhance strategic thinking and business planning. Efficiently and effectively operate across multiple projects simultaneously and assume responsibility for the appropriate data/information architecture, design and quality. Design, implement, maintain, and support end-to-end ETL solutions, as well as data warehouses and data marts. Develop, refine and maintain the security, quality, and integrity of data in ETL and data solutions. Establish, implement and uphold data integration standards and methodologies. Create and execute test plans for ETL and data integration solutions. Monitor ETL jobs to verify execution, maintain performance and resolve data integration issues as they arise. Implement, maintain and support the data quality, data catalog and master data management initiatives of data marts and data warehouse systems. Design support activities around data integration; such as on-going data validation and performance tuning. Participate in code and design review to ensure alignment to standards and best practices. May be assigned other duties as appropriate.






Show More
Report",81.0,Unknown,Nonprofit Organization,Healthcare,Health Care Services & Hospitals,, MO,,0,1,0,0,0,0,0,0,0,0,0
"One Medical
",Data Engineer,"San Francisco, CA","About Us
One Medical is a primary care solution challenging the industry status quo by making quality care more affordable, accessible and enjoyable. But this isn't your average doctor's office. We're on a mission to transform healthcare, which means improving the experience for everyone involved - from patients and providers to employers and health networks. Our seamless in-office and 24/7 virtual care services, on-site labs, and programs for preventive care, chronic care management, common illnesses and mental health concerns have been delighting people for the past fifteen years.
In February 2023 we marked a milestone when One Medical joined Amazon. Together, we look to deliver exceptional health care to more consumers, employers, care team members, and health networks to achieve better health outcomes. As we continue to grow and seek to impact more lives, we're building a diverse, driven and empathetic team, while working hard to cultivate an environment where everyone can thrive.



Show More
Report",146.5,1001 to 5000 Employees,Company - Public,Healthcare,Health Care Services & Hospitals,2009.0, CA,14.0,0,1,0,0,0,0,0,0,0,0,0
"The Cervantes Group
",Data Engineer,"Dallas, TX","Data Engineer
Location: Dallas, TX
The Cervantes Group is a fast-growing startup that provides software and hardware solutions to help people with disabilities learn and use technology. We are looking for a Data Engineer to join our team and help us scale our data collection, analysis, and reporting efforts. The ideal candidate will be a data scientist with strong experience in machine learning, data science, and big data. You should be comfortable working in a fast-paced, startup environment, and have an entrepreneurial mindset.
Responsibilities:
Build, test, and deploy machine learning models using Python, R, Scala, or Java.
Show More
Report",86.5,51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,2004.0, TX,19.0,1,1,1,1,0,0,0,0,0,0,0
Mind Mint,Data Engineer,"Scottsdale, AZ","JOIN AN AMAZING COMPANY AND GLOBALLY RECOGNIZED BRAND
DIVE INTO INTRIGUING PROJECTS AND LEVEL UP YOUR SKILLS
WORK WITH A FUN TEAM ONSITE IN SCOTTSDALE ARIZONA

Are you ready to embark on an exciting challenge in the field of data engineering?

Do you possess a genuine passion for unraveling patterns and crafting insightful solutions through data engineering?

Can you envision yourself that align with our company's objectives through data-driven solutions?
























Show More
Report",110.0,Unknown,Company - Public,,,, AZ,,0,1,0,0,0,0,0,0,0,0,0
"Keyrus USA
",Data Engineer,"New York, NY","WHO WE ARE:
Keyrus US is part of the Keyrus entity - a global data analytics consultancy with over 25 years of experience - and over 3,000 consultants in 23 countries. We partner with our clients on advisory and strategy services and complete technical implementation capabilities focusing on data governance, change management, data intelligence, cloud and security, data engineering, visualization, and data science. Keyrus US is at an exciting time! We’re aligning with the Keyrus Americas team, including US/Canada/Latam to leverage our offerings, clients, and team members.

THE ROLE:
Technical/Development - Hands-on independently and/or with Tech Leads, with Cloud-based technologies (i.e., Snowflake, AWS, Talend), creating data pipelines and orchestration to integrate systems

Show More
Report",101.0,Unknown,Company - Private,Information Technology,Information Technology Support Services,, NY,,0,1,0,0,0,0,1,0,0,1,0
"CHARTER SCHOOLS USA INC
",Junior Data Engineer,"Fort Lauderdale, FL","JOB PURPOSE
The Junior Data Engineer is responsible for flow of information between systems, the quality of that data, and exposing that data to deliver information and insight. The Junior Data Engineer oversees the data warehouse and related systems and ensures connectivity to keep systems operating at full capacity, develops solutions to deliver relevant data to systems and customers in a timely and secure manner.
ESSENTIAL DUTIES AND RESPONSIBILITIES
Facilitate the flow of information for students and staff between enrollment systems, student information systems, education applications, and other systems as needed
Lead architect and design of data warehouse and availability environment
Show More
Report",83.0,501 to 1000 Employees,Company - Private,Education,Primary & Secondary Schools,1997.0, FL,26.0,0,1,0,0,0,0,0,0,0,0,0
Infobahn Solutions Inc.,Cloud Data Engineer - Flink/Python/PySpark,"Lanham, MD","---- US Federal Government Project requirements mandates role open only for US Citizens only---- (No exceptions to this requirement. Ps do not apply if you are not a US Citizen)
Job Description
Infobahn Solutions is hiring a Data Engineering professional in the Washington DC Metro Area for a US Government Federal Project with the Department of Treasury .
The Data Engineer will be part of a Data Migration & Conversion Team on a large DataLake being implemented on AWS Gov Cloud with a focus on Event Driven Architecture using Confluent (Kafka) .
The Data Engineer should have experience with Data Engineering (developing read projections) and data manipulations while using Confluent Kafka.
Show More
Report",122.5,,,,,, MD,,0,1,0,0,0,0,1,0,0,0,0
